Compounds,Family,Theating,Tcooling,Tavg,Hysteresis,dTt/dP,delta_S_1T,delta_S_2T,delta_S_3T,delta_S_5T,delta_S_7T,Reference
MnNi(0.46)Fe(0.54)Si(0.51)Ge(0.49),MnNi-FeSi-Ge,267,267,267,0,,,,,,,
MnNi(0.46)Fe(0.54)Si(0.46)Ge(0.54),MnNi-FeSi-Ge,236,217,226.5,19,,,,,,,
MnNi(0.44)Fe(0.56)Si(0.46)Ge(0.54),MnNi-FeSi-Ge,193,193,193,0,,,,,,,
MnNi(0.45)Fe(0.55)Si(0.46)Ge(0.54),MnNi-FeSi-Ge,213,194,203.5,19,,,,,,,
MnNi(0.47)Fe(0.53)Si(0.46)Ge(0.54),MnNi-FeSi-Ge,248,225,236.5,23,,,12.98,,33.2,,
Mn(0.4)Fe(0.6)NiSi(1)Ga(0),Mn(0.4)Fe(0.6)NiSi-Ga,445,445,445,0,,,,,,,
Mn(0.4)Fe(0.6)NiSi(0.98)Ga(0.02),Mn(0.4)Fe(0.6)NiSi-Ga,407,407,407,0,,,,,,,
Mn(0.4)Fe(0.6)NiSi(0.96)Ga(0.04),Mn(0.4)Fe(0.6)NiSi-Ga,341,305,323,36,,,,7.7,,,
Mn(0.4)Fe(0.6)NiSi(0.94)Ga(0.06),Mn(0.4)Fe(0.6)NiSi-Ga,241,205,223,36,,,,13.3,,,
Mn(0.4)Fe(0.6)NiSi(0.92)Ga(0.08),Mn(0.4)Fe(0.6)NiSi-Ga,139,134,136.5,5,,,,,,,
Mn(0.4)Fe(0.6)NiSi(0.9)Ga(0.1),Mn(0.4)Fe(0.6)NiSi-Ga,,,,,,,,,,,
Mn0.45Fe0.55NiSi(0.88)Sn(0.12),Mn(0.45)Fe(0.55)NiSi-Sn,355,343,349,12,,,2.96,,7.36,,
Mn0.45Fe0.55NiSi(0.86)Sn(0.14),Mn(0.45)Fe(0.55)NiSi-Sn,332,312,322,20,,,3.28,,8.64,,
Mn0.45Fe0.55NiSi(0.84)Sn(0.16),Mn(0.45)Fe(0.55)NiSi-Sn,301,263,282,38,,,1.15,,3.16,,
Mn0.45Fe0.55NiSi(0.82)Sn(0.18),Mn(0.45)Fe(0.55)NiSi-Sn,275,248,261.5,27,,,0.56,,1.35,,
(MnNiSi)0.69(Fe2Sn)0.31,MnNiSi-FeFeSn,206.42,172.16,189.29,34.26,,,,,,,
(MnNiSi)0.67(Fe2Sn)0.33,MnNiSi-FeFeSn,200.37,178.11,189.24,22.26,,,,,,,
(MnNiSi)0.65(Fe2Sn)0.35,MnNiSi-FeFeSn,204.06,180.57,192.315,23.49,,,,,,,
(Mn0.45Fe0.55)Ni0.33(Si0.88Sn0.12),(Mn0.45Fe0.55)Ni0.33(Si-Sn),,,,,,,,,,,
(Mn0.45Fe0.55)Ni0.33(Si0.87Sn0.13),(Mn0.45Fe0.55)Ni0.33(Si-Sn),,,,,,,,,,,
(Mn0.45Fe0.55)Ni0.33(Si0.86Sn0.14),(Mn0.45Fe0.55)Ni0.33(Si-Sn),,,,,,,,,,,
(MnNiSi)0.84(FeNiSn)0.16,(MnNiSi)-(FeNiSn),161.28,141.99,151.635,19.29,,,,,,,
(MnNiSi)0.82(FeNiSn)0.18,(MnNiSi)-(FeNiSn),151.02,131.22,141.12,19.8,,,,,,,
(MnNiSi)0.80(FeNiSn)0.20,(MnNiSi)-(FeNiSn),163.13,139.63,151.38,23.5,,,,,,,
(MnNiSi)0.70(FeNiSn)0.30,(MnNiSi)-(FeNiSn),119.73,107.72,113.725,12.01,,,,,,,
(MnNiSi)0.68(FeNiSn)0.32,(MnNiSi)-(FeNiSn),142.61,122.19,132.4,20.42,,,,,,,
(MnNiSi)0.66(FeNiSn)0.34,(MnNiSi)-(FeNiSn),141.38,121.58,131.48,19.8,,,,,,,
(MnNiGe)1(FeCoGe)0,(MnNiGe)-(FeCoGe),520.6,506.8,513.7,13.8,,,,,,,
(MnNiGe)0.96(FeCoGe)0.04,(MnNiGe)-(FeCoGe),417.2,405.7,411.45,11.5,,,,,,,
(MnNiGe)0.94(FeCoGe)0.06,(MnNiGe)-(FeCoGe),362.2,351.5,356.85,10.7,,,,,,,
(MnNiGe)0.91(FeCoGe)0.09,(MnNiGe)-(FeCoGe),295.1,280.5,287.8,14.6,,,,,,,
(MnNiGe)0.89(FeCoGe)0.11,(MnNiGe)-(FeCoGe),273.2,262.6,267.9,10.6,,,,,,,
(MnNiGe)0.87(FeCoGe)0.13,(MnNiGe)-(FeCoGe),244.3,233.5,238.9,10.8,,,,,,,
(MnNiGe)0.85(FeCoGe)0.15,(MnNiGe)-(FeCoGe),230.6,215.1,222.85,15.5,,,,,,,
Mn0.4Cr0.1Fe0.5NiSi0.94Al0.06 ,,279.03,243.53,261.28,35.5,,,,,,,
Mn0.5Fe0.5NiSi0.94Al0.04Sn0.02,,328.23,294.33,311.28,33.9,,,,,,,
Mn0.5Fe0.5NiSi0.94Al0.06B0.005,,291.45,261.58,276.515,29.87,,,,,,,
Mn0.9Fe0.2Ni0.9Ge0.93Si0.07,,296.34,290.46,293.4,5.88,,,,,,,
Mn(0.9)Cu(0.1)CoGe,Mn-CuCoGe,249,238,243.5,11,,,,,,,
Mn(0.905)Cu(0.095)CoGe,Mn-CuCoGe,275,258.82,266.91,16.18,,,,,,,
Mn(0.91)Cu(0.09)CoGe,Mn-CuCoGe,289,276.07,282.535,12.93,,,,,,,
Mn(0.915)Cu(0.085)CoGe,Mn-CuCoGe,304,290.8,297.4,13.2,,,,,,,
Mn(0.92)Cu(0.08)CoGe,Mn-CuCoGe,321,304.03,312.515,16.97,,,,,,,
MnCoGeB(0.01),MnCoGe-B,304,,,,,,,,,,
MnCoGeBx(0.02),MnCoGe-B,287,,,,,,,,,,
MnCoGeBx(0.03),MnCoGe-B,275,,,,,,,,,,
Mn(1)Cr(0.00)CoGe,Mn-CrCoGe,345,345,345,0,,,,,,,
Mn(0.96)Cr(0.04)CoGe,Mn-CrCoGe,312,322,317,10,,,,,,,
Mn(0.89)Cr(0.11)CoGe,Mn-CrCoGe,280,292,286,12,,,,,,,
Mn(0.82)Cr(0.18)CoGe,Mn-CrCoGe,259,274,266.5,15,,,,,,,
Mn(0.75)Cr(0.25)CoGe,Mn-CrCoGe,217,237,227,20,,,,,,,
Mn(0.73)Cr(0.27)CoGe,Mn-CrCoGe,190,190,190,0,,,,,,,
Mn(1)V(0.00)CoGe,Mn-CrCoGe,,,,,,,,,,,
Mn(0.99)V(0.01)CoGe,Mn-CrCoGe,325.48,310.35,317.915,15.13,,,,,,,
Mn(0.98)V(0.02)CoGe,Mn-CrCoGe,301.61,288.87,295.24,12.74,,,,,,,
Mn(0.97)V(0.03)CoGe,Mn-CrCoGe,276.94,268.94,272.94,8,,,,,,,
Mn(0.95)V(0.05)CoGe,Mn-CrCoGe,233.14,233.14,233.14,0,,,,,,,
MnCoGeB0.01,MnCoGe-B,304,295,299.5,9,,,,,,,
MnCoGeB0.02,MnCoGe-B,287,273,280,14,,,,,,,
MnCoGeB0.03,MnCoGe-B,275,266,270.5,9,,,,,,,
MnCoGeB0.05,MnCoGe-B,260,260,260,0,,,,,,,
